district_id,centroid_lon,centroid_lat,tile_x,tile_y,zoom
431,81.10571270795724,22.85904910213297,92,55,7
432,80.44805781548529,22.66080508642052,92,55,7
433,78.60013005941566,22.243653625821548,91,55,7
434,79.70897328516979,22.38070337284271,92,55,7
435,80.44752314366445,22.07798051539474,92,55,7
436,77.19988972783709,24.760667661004074,91,54,7
437,77.86399169021941,24.673063133615834,91,54,7
438,81.40401630287244,23.67645527182974,92,55,7
439,81.60713218937067,23.104636048310386,92,55,7
440,82.53748117436231,24.555546083789455,93,54,7
441,74.67400366961434,22.8877565495878,90,55,7
442,74.36779853781725,22.31301789639982,90,55,7
443,76.02470397949219,22.2139038508566,90,55,7
444,75.99715658884378,21.483497810307828,90,56,7
445,69.4613273761802,23.571767944633827,88,55,7
446,71.84139421933513,24.545629187712624,89,54,7
447,71.75910869582081,23.76507017800015,89,55,7
448,72.46718410980215,23.60470362520313,89,55,7
449,72.69587540122271,23.24826703669155,89,55,7
450,69.58994587381835,21.905653854801493,88,55,7
451,72.75166704938046,22.423880958882624,89,55,7
452,74.11480491555287,22.856945363087725,90,55,7
453,73.6225146660799,21.933450049052468,90,55,7
454,72.76958955464806,22.019964936937086,89,55,7
455,73.70291540606392,20.79299593533546,90,56,7
456,72.99557358585957,20.8452160521186,89,56,7
457,73.00275533721454,20.420879212427558,89,56,7
458,73.20754343602822,21.04429095835972,89,56,7
459,72.85282760264664,20.408172760214526,89,56,7
460,73.0716698956817,20.18750569752328,89,56,7
461,74.28871044235802,21.913470774449806,90,55,7
462,74.60511694121718,21.107179035031226,90,56,7
463,75.43556666322868,20.91966422070226,90,56,7
464,75.99070130289104,20.438215126307878,90,56,7
465,77.04451493032623,20.745207677713392,91,56,7
466,77.216637669683,20.233599683320342,91,56,7
467,77.56824075320854,21.18555275735312,91,56,7
468,78.4896274934108,20.835144935661273,91,56,7
469,78.63257037217825,21.260741144883948,91,56,7
470,79.74449364093094,21.12510338223592,92,56,7
471,80.198556600657,21.14443644361789,92,56,7
472,80.25601917787066,19.932257536796687,92,56,7
473,78.82413588358126,20.311251434507952,91,56,7
474,78.08575084891721,20.089777456564168,91,56,7
475,77.87410524482338,19.512356231982334,91,56,7
476,77.1003140784397,19.633684166050728,91,56,7
477,76.62102124024852,19.459991127870637,91,56,7
478,75.83867347923464,19.88978806395808,90,56,7
479,74.07810755861551,20.255761435902944,90,56,7
480,72.84787108386126,19.244758267640307,89,56,7
481,72.83660972477608,18.980817173448763,89,57,7
482,73.07030195436366,18.556665797221786,89,57,7
483,73.87129315058502,19.290394221254775,90,56,7
484,74.55783037066595,19.49898278575577,90,56,7
485,75.7415246431938,19.29983081733619,90,56,7
486,76.75961923806778,18.369158583153652,91,57,7
487,75.71541015127804,18.382290025801396,90,57,7
488,75.40322978244605,17.813483839103498,90,57,7
489,74.18113678964009,17.66355645879559,90,57,7
490,73.15733707655421,17.780440232829108,89,57,7
491,73.76103008246015,16.592240894322366,90,57,7
492,74.15874800259543,16.768311767955993,90,57,7
493,74.77456358861716,17.107998342981066,90,57,7
494,75.00593253801947,16.713617811753643,90,57,7
495,75.35731887033019,16.63622245666038,90,57,7
496,75.75892794078304,16.933293768664935,90,57,7
497,77.22358429713587,17.94554573777515,91,57,7
498,76.98600971593267,16.55404511947785,91,57,7
499,75.94724355142436,15.543195866815212,90,58,7
500,75.66648483159788,15.423128988598858,90,58,7
501,75.1560657455126,15.382511307867857,90,58,7
502,74.62259585045653,14.783515534765737,90,58,7
503,75.41881986367524,14.732523831577096,90,58,7
504,75.86721134663804,14.942465653268034,90,58,7
505,76.02455139160156,14.10237254922616,90,58,7
506,75.83749783613793,14.340106671729485,90,58,7
507,75.20462529278284,14.132567187124975,90,58,7
508,76.00198785556165,13.84770736611156,90,58,7
